latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C),apparent_temperature (°C)
2024-01-09T00:00,-8.8,-13.0
2024-01-09T00:15,-8.8,-13.0
2024-01-09T00:30,-8.9,-13.0
2024-01-09T00:45,-8.9,-13.0
2024-01-09T01:00,-8.9,-13.0
2024-01-09T01:15,-8.9,-13.1
2024-01-09T01:30,-9.1,-13.2
2024-01-09T01:45,-9.1,-13.3
2024-01-09T02:00,-9.1,-13.3
2024-01-09T02:15,-9.2,-13.4
2024-01-09T02:30,-9.2,-13.4
2024-01-09T02:45,-9.3,-13.4
2024-01-09T03:00,-9.4,-13.5
2024-01-09T03:15,-9.4,-13.5
2024-01-09T03:30,-9.4,-13.6
2024-01-09T03:45,-9.5,-13.6
2024-01-09T04:00,-9.6,-13.7
2024-01-09T04:15,-9.6,-13.7
2024-01-09T04:30,-9.6,-13.8
2024-01-09T04:45,-9.6,-13.8
2024-01-09T05:00,-9.7,-13.8
2024-01-09T05:15,-9.8,-13.9
2024-01-09T05:30,-9.8,-13.8
2024-01-09T05:45,-9.8,-13.9
2024-01-09T06:00,-9.8,-13.9
2024-01-09T06:15,-9.9,-13.9
2024-01-09T06:30,-9.9,-14.0
2024-01-09T06:45,-9.9,-14.1
2024-01-09T07:00,-9.9,-14.1
2024-01-09T07:15,-9.9,-14.1
2024-01-09T07:30,-9.9,-14.1
2024-01-09T07:45,-9.9,-14.1
2024-01-09T08:00,-9.9,-14.0
2024-01-09T08:15,-9.8,-13.9
2024-01-09T08:30,-9.6,-13.8
2024-01-09T08:45,-9.5,-13.7
2024-01-09T09:00,-9.3,-13.5
2024-01-09T09:15,-9.1,-13.3
2024-01-09T09:30,-8.9,-13.1
2024-01-09T09:45,-8.6,-12.9
2024-01-09T10:00,-8.4,-12.6
2024-01-09T10:15,-8.1,-12.4
2024-01-09T10:30,-7.8,-12.1
2024-01-09T10:45,-7.5,-11.9
2024-01-09T11:00,-7.2,-11.6
2024-01-09T11:15,-6.9,-11.4
2024-01-09T11:30,-6.7,-11.0
2024-01-09T11:45,-6.4,-10.8
2024-01-09T12:00,-6.2,-10.5
2024-01-09T12:15,-5.9,-10.3
2024-01-09T12:30,-5.7,-10.1
2024-01-09T12:45,-5.5,-9.8
2024-01-09T13:00,-5.3,-9.7
2024-01-09T13:15,-5.2,-9.5
2024-01-09T13:30,-5.1,-9.4
2024-01-09T13:45,-5.1,-9.2
2024-01-09T14:00,-5.0,-9.2
2024-01-09T14:15,-5.0,-9.1
2024-01-09T14:30,-5.1,-9.1
2024-01-09T14:45,-5.2,-9.2
2024-01-09T15:00,-5.2,-9.3
2024-01-09T15:15,-5.4,-9.4
2024-01-09T15:30,-5.6,-9.6
2024-01-09T15:45,-5.8,-9.8
2024-01-09T16:00,-5.9,-10.0
2024-01-09T16:15,-6.1,-10.1
2024-01-09T16:30,-6.2,-10.3
2024-01-09T16:45,-6.3,-10.4
2024-01-09T17:00,-6.4,-10.5
2024-01-09T17:15,-6.6,-10.7
2024-01-09T17:30,-6.7,-10.8
2024-01-09T17:45,-6.8,-10.8
2024-01-09T18:00,-6.8,-10.9
2024-01-09T18:15,-6.9,-11.0
2024-01-09T18:30,-7.0,-11.1
2024-01-09T18:45,-7.0,-11.2
2024-01-09T19:00,-7.1,-11.2
2024-01-09T19:15,-7.1,-11.3
2024-01-09T19:30,-7.1,-11.3
2024-01-09T19:45,-7.1,-11.3
2024-01-09T20:00,-7.1,-11.3
2024-01-09T20:15,-7.2,-11.3
2024-01-09T20:30,-7.2,-11.3
2024-01-09T20:45,-7.2,-11.3
2024-01-09T21:00,-7.2,-11.4
2024-01-09T21:15,-7.3,-11.4
2024-01-09T21:30,-7.3,-11.4
2024-01-09T21:45,-7.3,-11.5
2024-01-09T22:00,-7.3,-11.5
2024-01-09T22:15,-7.3,-11.5
2024-01-09T22:30,-7.4,-11.6
2024-01-09T22:45,-7.4,-11.6
2024-01-09T23:00,-7.4,-11.6
2024-01-09T23:15,-7.4,-11.6
2024-01-09T23:30,-7.4,-11.6
2024-01-09T23:45,-7.4,-11.6
2024-01-10T00:00,-7.4,-11.5
2024-01-10T00:15,-7.4,-11.5
2024-01-10T00:30,-7.4,-11.6
2024-01-10T00:45,-7.5,-11.6
2024-01-10T01:00,-7.5,-11.6
2024-01-10T01:15,-7.5,-11.6
2024-01-10T01:30,-7.6,-11.6
2024-01-10T01:45,-7.6,-11.6
2024-01-10T02:00,-7.6,-11.6
2024-01-10T02:15,-7.6,-11.6
2024-01-10T02:30,-7.6,-11.7
